Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2
2019-08-1213:11:55.8600,-0.61,6.31,0.82,5.69,1.05,3.01,12.75,61.56,-25.5,11.387,1,1
2019-08-1213:11:55.8830,-0.61,6.31,0.82,5.69,1.05,3.01,12.75,61.56,-25.5,11.037,1,1
2019-08-1213:11:56.0440,-0.71,3.43,0.7,5.69,1.05,3.01,12.75,61.56,-25.5,10.809,1,1
2019-08-1213:11:56.0680,0.13,0.85,-0.48,5.69,1.05,3.01,12.75,61.56,-95.44,10.719,1,1
2019-08-1213:11:56.2150,0.25,0.18,-0.15,5.69,1.05,3.01,-13.69,47.06,-92.19,10.714,1,1
2019-08-1213:11:56.2390,0.25,0.18,-0.15,5.69,1.05,3.01,-12.06,48.94,-92.19,10.709,1,1
2019-08-1213:11:56.3960,0.25,0.18,-0.15,5.69,1.05,3.01,-12.06,48.94,-92.19,10.705,1,1
2019-08-1213:11:56.4200,-0.35,0.28,-0.11,5.69,1.05,3.01,-12.06,48.94,-92.19,10.705,1,1
2019-08-1213:11:56.5760,-0.01,-0.09,-0.04,5.69,1.05,3.01,-12.06,48.94,-92.19,10.698,1,1
2019-08-1213:11:56.7360,0.01,-0.09,0.08,5.69,1.05,3.01,-12.06,48.94,-92.19,10.694,1,1
2019-08-1213:11:56.7600,-0.05,-0.04,-0.11,5.69,1.05,3.01,-12.06,48.94,-92.19,10.691,1,1
2019-08-1213:11:56.9180,0.04,0.06,-0.13,5.77,-1.17,7.68,-12.06,48.94,-92.19,10.688,1,1
2019-08-1213:11:56.9410,0.04,0.06,-0.13,5.66,-1.25,8.33,-12.06,48.94,-93.75,10.684,1,1
2019-08-1213:11:57.0860,0.04,0.06,-0.13,5.66,-1.25,8.33,-12.44,49.31,-93.75,10.68,1,1
2019-08-1213:11:57.2410,0.04,0.06,-0.13,5.66,-1.25,8.33,-12.44,49.31,-93,10.675,1,1
2019-08-1213:11:57.2640,0,0.01,-0.06,5.66,-1.25,8.33,-12.81,50.31,-93,10.674,1,1
2019-08-1213:11:57.4240,0,0.01,-0.06,5.62,-0.94,7.91,-12.81,50.31,-93,10.669,1,1
2019-08-1213:11:57.4480,0,0.01,-0.06,5.31,-1.44,8.22,-12.81,50.31,-93,10.67,1,1
2019-08-1213:11:57.5990,0,0.01,-0.06,5.31,-1.44,8.22,-12.81,50.31,-93,10.669,1,1
2019-08-1213:11:57.6220,0,-0.02,-0.06,5.31,-1.44,8.22,-12.81,50.31,-93,10.669,1,1
2019-08-1213:11:57.7720,0.04,-0.04,-0.04,5.31,-1.44,8.22,-12.81,50.31,-93,10.666,1,1
2019-08-1213:11:57.9270,-0.04,0.05,-0.02,5.31,-1.44,8.22,-12.81,50.31,-93,10.666,1,1
2019-08-1213:11:57.9500,-0.04,0.03,0,5.31,-1.44,8.22,-12.81,50.31,-92.56,10.663,1,1
2019-08-1213:11:58.1060,0,0.04,0.01,5.31,-1.44,8.22,-13.19,49.63,-97.44,10.655,1,1
2019-08-1213:11:58.1290,0,0.04,0.01,5.31,-1.44,8.22,-13.31,46.75,-93.81,10.654,1,1
2019-08-1213:11:58.2860,0,0.04,0.01,5.31,-1.44,8.22,-12.94,47.13,-93.81,10.652,1,1
2019-08-1213:11:58.3080,0,0.04,0.01,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.651,1,1
2019-08-1213:11:58.4650,0,0.04,0.01,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.659,1,1
2019-08-1213:11:58.6200,-0.01,0,0.01,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.663,1,1
2019-08-1213:11:58.6430,-0.03,-0.01,0.03,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.665,1,1
2019-08-1213:11:58.7990,-0.04,-0.05,0.02,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.665,1,1
2019-08-1213:11:58.8210,0,-0.04,-0.04,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.659,1,1
2019-08-1213:11:58.9830,0.04,-0.03,-0.03,5.36,-0.82,8.25,-12.94,47.13,-93.81,10.656,1,1
2019-08-1213:11:59.0050,-0.02,0.03,-0.02,5.36,-0.82,8.25,-12.94,47.13,-97.06,10.659,1,1
2019-08-1213:11:59.1630,0.05,0.06,-0.01,5.36,-0.82,8.25,-13.69,47.06,-93.37,8.185,1,1
2019-08-1213:11:59.3230,0.05,0.06,-0.01,5.36,-0.82,8.25,-11.75,47.88,-93.37,8.085,1,1
2019-08-1213:11:59.3460,0.05,0.06,-0.01,5.36,-0.82,8.25,-11.75,47.88,-93.37,8.079,1,1
2019-08-1213:11:59.4950,0.03,0.06,0.02,5.17,-0.74,8.55,-11.75,47.88,-93.37,10.697,1,1
2019-08-1213:11:59.5190,0.03,0.06,0.02,5.17,-0.74,8.55,-11.75,47.88,-93.37,10.728,1,1
2019-08-1213:11:59.6710,0.05,-0.07,0.04,5.17,-0.74,8.55,-11.75,47.88,-93.37,10.785,1,1
2019-08-1213:11:59.8220,0.04,-1.09,-0.4,5.17,-0.74,8.55,-11.75,47.88,-93.37,11.976,1,1
2019-08-1213:11:59.8450,2.23,-4.38,-1.67,5.17,-0.74,8.55,-11.75,47.88,-93.37,12.16,1,1
2019-08-1213:12:00.0010,4.27,-6.79,-1.43,8.54,3.82,-7.77,-11.75,47.88,-93.37,12.158,1,1
2019-08-1213:12:00.0250,4.27,-6.79,-1.43,5.02,-0.2,-8.42,-11.75,47.88,-93.37,11.874,1,1
