Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1311:12:56.8100,0.5,-0.13,1.21,-6.09,0.42,-10.55,47.81,-4.37,-8.0,12.778,0,1,ON,
2019-08-1311:12:56.9440,0.28,1.31,2.07,-6.09,0.42,-10.55,47.81,-4.37,-8.0,12.735,0,1,ON,
2019-08-1311:12:57.0880,0.13,0.66,0.97,-6.09,0.42,-10.55,47.81,-4.37,-8.0,12.653,0,1,ON,
2019-08-1311:12:57.1010,0.13,0.66,0.97,-7.36,2.57,3.62,47.81,-4.37,-8.0,12.658,0,1,ON,
2019-08-1311:12:57.2370,0.13,0.66,0.97,-9.2,2.11,2.25,47.81,-4.37,-8.0,12.452,0,1,ON,
2019-08-1311:12:57.3730,0.13,0.66,0.97,-9.2,2.11,2.25,39.19,-29.25,5.12,13.779,0,1,ON,
2019-08-1311:12:57.3860,-0.73,6.09,-0.79,-9.2,2.11,2.25,39.19,-29.25,5.12,14.072,0,1,ON,
2019-08-1311:12:57.5190,-0.55,3.15,-1.57,-9.2,2.11,2.25,39.19,-29.25,5.12,14.213,0,1,ON,
2019-08-1311:12:57.6550,-0.55,3.15,-1.57,-9.2,2.11,2.25,21.37,-25.0,36.25,14.353,0,1,ON,
2019-08-1311:12:57.6690,3.82,-1.47,-2.21,-9.2,2.11,2.25,21.37,-25.0,36.25,14.119,0,1,ON,
2019-08-1311:12:57.8010,4.72,-9.17,0.71,-9.2,2.11,2.25,21.37,-25.0,36.25,13.536,0,1,ON,
2019-08-1311:12:57.9390,0.27,-6.38,2.27,-9.2,2.11,2.25,21.37,-25.0,36.25,13.384,0,1,ON,
2019-08-1311:12:58.0830,1.12,-0.08,2.51,-9.2,2.11,2.25,21.37,-25.0,36.25,12.587,0,1,ON,
2019-08-1311:12:58.0950,2.05,4.8,3.49,-9.2,2.11,2.25,21.37,-25.0,36.25,12.354,0,1,ON,
2019-08-1311:12:58.2320,2.05,4.8,3.49,-9.2,2.11,2.25,29.44,-38.63,-11.5,13.426,0,1,ON,
2019-08-1311:12:58.3750,4.48,8.32,4.21,-9.2,2.11,2.25,29.44,-38.63,-11.5,13.476,0,1,ON,
2019-08-1311:12:58.3880,1.32,5.1,4.85,-9.2,2.11,2.25,29.44,-38.63,-11.5,13.679,0,1,ON,
2019-08-1311:12:58.5250,3.2,2.43,1.41,-9.2,2.11,2.25,29.44,-38.63,-11.5,13.711,0,1,ON,
2019-08-1311:12:58.6610,3.2,2.43,1.41,-9.2,2.11,2.25,-44.06,-20.69,10.19,13.737,0,1,ON,
2019-08-1311:12:58.6740,3.2,2.43,1.41,-9.2,2.11,2.25,-38.69,-22.37,17.44,13.904,0,1,ON,
2019-08-1311:12:58.8060,0.22,-1.42,-1.86,-9.2,2.11,2.25,-38.69,-22.37,17.44,13.921,0,1,ON,
2019-08-1311:12:58.9450,0.22,-1.42,-1.86,5.44,4.75,-8.29,-38.69,-22.37,17.44,13.973,0,1,ON,
2019-08-1311:12:58.9590,-0.04,-0.45,-0.28,5.44,4.75,-8.29,-38.69,-22.37,17.44,13.97,0,1,ON,
2019-08-1311:12:59.0990,-0.23,0.14,-0.34,5.44,4.75,-8.29,-38.69,-22.37,17.44,13.963,0,1,ON,
2019-08-1311:12:59.2390,-0.36,0.55,0.13,5.44,4.75,-8.29,-38.69,-22.37,17.44,13.911,0,1,ON,
2019-08-1311:12:59.2530,-0.36,0.55,0.13,3.79,4.95,-7.33,-38.69,-22.37,17.44,13.899,0,1,ON,
2019-08-1311:12:59.3990,-0.36,0.55,0.13,3.79,4.95,-7.33,-23.12,-36.13,19.31,13.951,0,1,ON,
2019-08-1311:12:59.5390,-0.36,0.55,0.13,3.79,4.95,-7.33,-33.06,-24.44,24.69,13.925,0,1,ON,
2019-08-1311:12:59.5530,-0.36,0.55,0.13,3.79,4.95,-7.33,-38.25,-21.69,21.56,13.995,0,1,ON,
2019-08-1311:12:59.6920,-0.36,0.55,0.13,3.79,4.95,-7.33,-36.56,-13.75,28.12,14.061,0,1,ON,
2019-08-1311:12:59.8280,-0.86,-0.28,1.07,3.79,4.95,-7.33,-36.56,-13.75,28.12,13.967,0,1,ON,
2019-08-1311:12:59.9640,-0.64,-0.6,-0.35,3.79,4.95,-7.33,-36.56,-13.75,28.12,14.042,0,1,ON,
2019-08-1311:12:59.9780,-0.59,-1.83,2.03,3.79,4.95,-7.33,-36.56,-13.75,28.12,14.089,0,1,ON,
2019-08-1311:13:00.1220,-0.55,-0.76,0.4,3.79,4.95,-7.33,-36.56,-13.75,28.12,14.047,0,1,ON,
2019-08-1311:13:00.2720,-0.55,-0.76,0.4,2.87,2.99,-8.98,-36.56,-13.75,28.12,13.991,0,1,ON,
2019-08-1311:13:00.2840,-0.7,-0.2,0.72,2.87,2.99,-8.98,-36.56,-13.75,28.12,13.992,0,1,ON,
2019-08-1311:13:00.4290,-0.38,-0.51,1.22,2.87,2.99,-8.98,-36.56,-13.75,28.12,14.029,0,1,ON,
2019-08-1311:13:00.5710,-0.38,-0.51,1.22,2.87,2.99,-8.98,-38.13,3.19,35.38,14.178,0,1,ON,
2019-08-1311:13:00.5830,-0.38,-0.51,1.22,2.87,2.99,-8.98,-36.94,13.44,30.75,14.01,0,1,ON,
2019-08-1311:13:00.7270,-0.38,-0.51,1.22,2.87,2.99,-8.98,-36.13,14.75,34.06,14.04,0,1,ON,
2019-08-1311:13:00.8640,-0.38,-0.51,1.22,4.63,-0.69,-9.75,-36.13,14.75,34.06,14.125,0,1,ON,
2019-08-1311:13:00.8770,-0.38,-0.51,1.22,-0.96,3.3,-4.8,-36.13,14.75,34.06,13.974,0,1,ON,
2019-08-1311:13:01.0100,-1.41,-0.38,-0.75,-0.96,3.3,-4.8,-36.13,14.75,34.06,13.968,0,1,ON,
2019-08-1311:13:01.1520,2.16,-1.95,3.28,-0.96,3.3,-4.8,-36.13,14.75,34.06,14.155,0,1,ON,
